        nu_e/omega_T             omega_r             omega_i            omega1_r            omega1_i            omega2_r            omega2_i
           527.39620             0.91755            -0.30212             0.00000             0.00000             1.00655            -0.50655
           530.22407             0.91848            -0.30270             0.00000             0.00000             1.00791            -0.50791
           533.05193             0.91941            -0.30329             0.00000             0.00000             1.00926            -0.50926
           535.87979             0.92033            -0.30387             0.00000             0.00000             1.01061            -0.51061
           538.70765             0.92125            -0.30445             0.00000             0.00000             1.01196            -0.51196
           541.53551             0.92217            -0.30502             0.00000             0.00000             1.01330            -0.51330
           544.36337             0.92308            -0.30560             0.00000             0.00000             1.01464            -0.51464
           547.19124             0.92399            -0.30617             0.00000             0.00000             1.01597            -0.51597
           550.01910             0.92490            -0.30674             0.00000             0.00000             1.01730            -0.51730
           552.84696             0.92580            -0.30731             0.00000             0.00000             1.01863            -0.51863
           555.67482             0.92670            -0.30787             0.00000             0.00000             1.01996            -0.51996
           558.50268             0.92760            -0.30844             0.00000             0.00000             1.02128            -0.52128
           561.33054             0.92850            -0.30900             0.00000             0.00000             1.02260            -0.52260
           564.15841             0.92939            -0.30956             0.00000             0.00000             1.02391            -0.52391
           566.98627             0.93028            -0.31012             0.00000             0.00000             1.02522            -0.52522
           569.81413             0.93117            -0.31068             0.00000             0.00000             1.02653            -0.52653
           572.64199             0.93205            -0.31123             0.00000             0.00000             1.02784            -0.52784
           575.46985             0.93293            -0.31178             0.00000             0.00000             1.02914            -0.52914
           578.29771             0.93381            -0.31234             0.00000             0.00000             1.03044            -0.53044
           581.12558             0.93469            -0.31288             0.00000             0.00000             1.03173            -0.53173
           583.95344             0.93556            -0.31343             0.00000             0.00000             1.03302            -0.53302
           586.78130             0.93643            -0.31398             0.00000             0.00000             1.03431            -0.53431
           589.60916             0.93730            -0.31452             0.00000             0.00000             1.03560            -0.53560
           592.43702             0.93817            -0.31506             0.00000             0.00000             1.03688            -0.53688
           595.26488             0.93903            -0.31561             0.00000             0.00000             1.03816            -0.53816
           598.09275             0.93989            -0.31614             0.00000             0.00000             1.03944            -0.53944
           600.92061             0.94075            -0.31668             0.00000             0.00000             1.04071            -0.54071
           603.74847             0.94160            -0.31722             0.00000             0.00000             1.04198            -0.54198
           606.57633             0.94245            -0.31775             0.00000             0.00000             1.04325            -0.54325
           609.40419             0.94330            -0.31828             0.00000             0.00000             1.04452            -0.54452
           612.23206             0.94415            -0.31881             0.00000             0.00000             1.04578            -0.54578
           615.05992             0.94500            -0.31934             0.00000             0.00000             1.04704            -0.54704
           617.88778             0.94584            -0.31987             0.00000             0.00000             1.04829            -0.54829
           620.71564             0.94668            -0.32039             0.00000             0.00000             1.04955            -0.54955
           623.54350             0.94752            -0.32092             0.00000             0.00000             1.05080            -0.55080
           626.37136             0.94835            -0.32144             0.00000             0.00000             1.05204            -0.55204
           629.19923             0.94918            -0.32196             0.00000             0.00000             1.05329            -0.55329
           632.02709             0.95002            -0.32248             0.00000             0.00000             1.05453            -0.55453
           634.85495             0.95084            -0.32300             0.00000             0.00000             1.05577            -0.55577
           637.68281             0.95167            -0.32351             0.00000             0.00000             1.05701            -0.55701
           640.51067             0.95249            -0.32403             0.00000             0.00000             1.05824            -0.55824
           643.33853             0.95331            -0.32454             0.00000             0.00000             1.05947            -0.55947
           646.16640             0.95413            -0.32505             0.00000             0.00000             1.06070            -0.56070
           648.99426             0.95495            -0.32556             0.00000             0.00000             1.06192            -0.56192
           651.82212             0.95576            -0.32607             0.00000             0.00000             1.06315            -0.56315
           654.64998             0.95658            -0.32658             0.00000             0.00000             1.06437            -0.56437
           657.47784             0.95739            -0.32708             0.00000             0.00000             1.06559            -0.56559
           660.30570             0.95819            -0.32758             0.00000             0.00000             1.06680            -0.56680
           663.13357             0.95900            -0.32809             0.00000             0.00000             1.06801            -0.56801
           665.96143             0.95980            -0.32859             0.00000             0.00000             1.06922            -0.56922
           668.78929             0.96060            -0.32909             0.00000             0.00000             1.07043            -0.57043
           671.61715             0.96140            -0.32958             0.00000             0.00000             1.07163            -0.57163
           674.44501             0.96220            -0.33008             0.00000             0.00000             1.07284            -0.57284
           677.27287             0.96299            -0.33058             0.00000             0.00000             1.07404            -0.57404
           680.10074             0.96378            -0.33107             0.00000             0.00000             1.07523            -0.57523
           682.92860             0.96458            -0.33156             0.00000             0.00000             1.07643            -0.57643
           685.75646             0.96536            -0.33205             0.00000             0.00000             1.07762            -0.57762
           688.58432             0.96615            -0.33254             0.00000             0.00000             1.07881            -0.57881
           691.41218             0.96693            -0.33303             0.00000             0.00000             1.08000            -0.58000
           694.24004             0.96772            -0.33352             0.00000             0.00000             1.08118            -0.58118
           697.06791             0.96850            -0.33400             0.00000             0.00000             1.08236            -0.58236
           699.89577             0.96927            -0.33449             0.00000             0.00000             1.08354            -0.58354
           702.72363             0.97005            -0.33497             0.00000             0.00000             1.08472            -0.58472
           705.55149             0.97082            -0.33545             0.00000             0.00000             1.08590            -0.58590
           708.37935             0.97160            -0.33593             0.00000             0.00000             1.08707            -0.58707
           711.20721             0.97237            -0.33641             0.00000             0.00000             1.08824            -0.58824
           714.03508             0.97313            -0.33689             0.00000             0.00000             1.08941            -0.58941
           716.86294             0.97390            -0.33737             0.00000             0.00000             1.09058            -0.59058
           719.69080             0.97467            -0.33784             0.00000             0.00000             1.09174            -0.59174
           722.51866             0.97543            -0.33832             0.00000             0.00000             1.09290            -0.59290
           725.34652             0.97619            -0.33879             0.00000             0.00000             1.09406            -0.59406
           728.17438             0.97695            -0.33926             0.00000             0.00000             1.09522            -0.59522
           731.00225             0.97770            -0.33973             0.00000             0.00000             1.09637            -0.59637
           733.83011             0.97846            -0.34020             0.00000             0.00000             1.09752            -0.59752
           736.65797             0.97921            -0.34067             0.00000             0.00000             1.09867            -0.59867
           739.48583             0.97996            -0.34113             0.00000             0.00000             1.09982            -0.59982
           742.31369             0.98071            -0.34160             0.00000             0.00000             1.10097            -0.60097
           745.14155             0.98146            -0.34206             0.00000             0.00000             1.10211            -0.60211
           747.96942             0.98220            -0.34253             0.00000             0.00000             1.10325            -0.60325
           750.79728             0.98295            -0.34299             0.00000             0.00000             1.10439            -0.60439
           753.62514             0.98369            -0.34345             0.00000             0.00000             1.10553            -0.60553
           756.45300             0.98443            -0.34391             0.00000             0.00000             1.10666            -0.60666
           759.28086             0.98517            -0.34437             0.00000             0.00000             1.10780            -0.60780
           762.10872             0.98591            -0.34482             0.00000             0.00000             1.10893            -0.60893
           764.93659             0.98664            -0.34528             0.00000             0.00000             1.11006            -0.61006
           767.76445             0.98737            -0.34573             0.00000             0.00000             1.11118            -0.61118
           770.59231             0.98811            -0.34619             0.00000             0.00000             1.11231            -0.61231
           773.42017             0.98884            -0.34664             0.00000             0.00000             1.11343            -0.61343
           776.24803             0.98956            -0.34709             0.00000             0.00000             1.11455            -0.61455
           779.07589             0.99029            -0.34754             0.00000             0.00000             1.11567            -0.61567
           781.90376             0.99102            -0.34799             0.00000             0.00000             1.11679            -0.61679
           784.73162             0.99174            -0.34844             0.00000             0.00000             1.11790            -0.61790
           787.55948             0.99246            -0.34888             0.00000             0.00000             1.11901            -0.61901
           790.38734             0.99318            -0.34933             0.00000             0.00000             1.12012            -0.62012
