             L_t/L_s             omega_r             omega_i            omega1_r            omega1_i            omega2_r            omega2_i
             0.00010             0.50005            -0.00005             0.50000            -0.00000             0.50005            -0.00005
             0.01010             0.54959            -0.04565             0.51011            -0.01011             0.55005            -0.05005
             0.02010             0.63419            -0.11248             0.55649            -0.05649             0.64052            -0.14052
             0.03010             0.73338            -0.18244             0.65503            -0.15503             0.75752            -0.25752
             0.04010             0.83941            -0.25237             0.81758            -0.31758             0.89598            -0.39598
             0.05010             0.94898            -0.32183             1.05409            -0.55409             1.05298            -0.55298
             0.06010             1.06059            -0.39085             1.37332            -0.87332             1.22655            -0.72655
             0.07010             1.17345            -0.45952             1.78316            -1.28316             1.41524            -0.91524
             0.08010             1.28714            -0.52793             2.29088            -1.79088             1.61790            -1.11790
             0.09010             1.40141            -0.59613             2.90324            -2.40324             1.83365            -1.33365
             0.10010             1.51608            -0.66418             3.62659            -3.12659             2.06173            -1.56173
             0.11010             1.63107            -0.73210             4.46693            -3.96693             2.30151            -1.80151
             0.12010             1.74629            -0.79993             5.42996            -4.92996             2.55244            -2.05244
             0.13010             1.86169            -0.86768             6.52114            -6.02114             2.81404            -2.31404
             0.14010             1.97724            -0.93536             7.74571            -7.24571             3.08591            -2.58591
             0.15010             2.09290            -1.00300             9.10870            -8.60870             3.36765            -2.86765
             0.16010             2.20866            -1.07058            10.61496           -10.11496             3.65895            -3.15895
             0.17010             2.32450            -1.13813            12.26919           -11.76919             3.95949            -3.45949
             0.18010             2.44040            -1.20565            14.07594           -13.57594             4.26900            -3.76900
             0.19010             2.55637            -1.27315            16.03964           -15.53964             4.58723            -4.08723
             0.20010             2.67238            -1.34062            18.16459           -17.66459             4.91394            -4.41394
             0.21010             2.78843            -1.40806            20.45496           -19.95496             5.24892            -4.74892
             0.22010             2.90452            -1.47549            22.91485           -22.41485             5.59197            -5.09197
             0.23010             3.02064            -1.54291            25.54824           -25.04824             5.94290            -5.44290
             0.24010             3.13678            -1.61031            28.35904           -27.85904             6.30155            -5.80155
             0.25010             3.25295            -1.67770            31.35105           -30.85105             6.66774            -6.16774
             0.26010             3.36915            -1.74508            34.52801           -34.02802             7.04133            -6.54133
             0.27010             3.48536            -1.81244            37.89359           -37.39359             7.42218            -6.92218
             0.28010             3.60159            -1.87980            41.45138           -40.95138             7.81013            -7.31014
             0.29010             3.71783            -1.94716            45.20489           -44.70489             8.20508            -7.70508
             0.30010             3.83409            -2.01450            49.15760           -48.65761             8.60690            -8.10690
             0.31010             3.95036            -2.08184            53.31292           -52.81292             9.01547            -8.51547
             0.32010             4.06665            -2.14917            57.67418           -57.17418             9.43067            -8.93067
             0.33010             4.18294            -2.21649            62.24468           -61.74468             9.85242            -9.35242
             0.34010             4.29924            -2.28382            67.02767           -66.52767            10.28060            -9.78060
             0.35010             4.41555            -2.35113            72.02634           -71.52634            10.71513           -10.21513
             0.36010             4.53187            -2.41844            77.24384           -76.74384            11.15591           -10.65591
             0.37010             4.64820            -2.48575            82.68327           -82.18328            11.60285           -11.10285
             0.38010             4.76453            -2.55306            88.34770           -87.84771            12.05587           -11.55587
             0.39010             4.88087            -2.62036            94.24014           -93.74015            12.51489           -12.01489
             0.40010             4.99722            -2.68766           100.36357           -99.86358            12.97983           -12.47983
             0.41010             5.11357            -2.75495           106.72094          -106.22095            13.45061           -12.95062
             0.42010             5.22993            -2.82224           113.31515          -112.81516            13.92718           -13.42718
             0.43010             5.34629            -2.88953           120.14907          -119.64908            14.40945           -13.90945
             0.44010             5.46265            -2.95682           127.22554          -126.72555            14.89736           -14.39736
             0.45010             5.57902            -3.02411           134.54736          -134.04737            15.39084           -14.89084
             0.46010             5.69539            -3.09139           142.11730          -141.61731            15.88984           -15.38984
             0.47010             5.81177            -3.15867           149.93811          -149.43811            16.39429           -15.89429
             0.48010             5.92815            -3.22595           158.01249          -157.51250            16.90413           -16.40413
             0.49010             6.04453            -3.29323           166.34313          -165.84314            17.41932           -16.91932
             0.50010             6.16092            -3.36051           174.93269          -174.43269            17.93978           -17.43978
             0.51010             6.27731            -3.42778           183.78378          -183.28379            18.46548           -17.96548
             0.52010             6.39370            -3.49506           192.89902          -192.39903            18.99635           -18.49635
             0.53010             6.51009            -3.56233           202.28099          -201.78100            19.53235           -19.03235
             0.54010             6.62649            -3.62960           211.93222          -211.43223            20.07343           -19.57343
             0.55010             6.74289            -3.69687           221.85526          -221.35527            20.61955           -20.11955
             0.56010             6.85929            -3.76414           232.05260          -231.55261            21.17065           -20.67065
             0.57010             6.97569            -3.83141           242.52673          -242.02674            21.72669           -21.22669
             0.58010             7.09210            -3.89867           253.28011          -252.78012            22.28763           -21.78763
             0.59010             7.20850            -3.96594           264.31517          -263.81518            22.85343           -22.35343
             0.60010             7.32491            -4.03320           275.63434          -275.13435            23.42404           -22.92404
             0.61010             7.44132            -4.10047           287.24001          -286.74002            23.99943           -23.49943
             0.62010             7.55773            -4.16773           299.13456          -298.63457            24.57955           -24.07955
             0.63010             7.67414            -4.23499           311.32034          -310.82035            25.16437           -24.66437
             0.64010             7.79056            -4.30225           323.79970          -323.29971            25.75384           -25.25384
             0.65010             7.90697            -4.36951           336.57495          -336.07497            26.34794           -25.84794
             0.66010             8.02339            -4.43677           349.64841          -349.14842            26.94663           -26.44663
             0.67010             8.13981            -4.50403           363.02234          -362.52236            27.54987           -27.04987
             0.68010             8.25623            -4.57129           376.69903          -376.19904            28.15763           -27.65763
             0.69010             8.37265            -4.63855           390.68071          -390.18073            28.76987           -28.26987
             0.70010             8.48907            -4.70580           404.96964          -404.46965            29.38656           -28.88656
             0.71010             8.60549            -4.77306           419.56801          -419.06803            30.00768           -29.50768
             0.72010             8.72191            -4.84032           434.47804          -433.97806            30.63318           -30.13318
             0.73010             8.83834            -4.90757           449.70192          -449.20194            31.26304           -30.76304
             0.74010             8.95476            -4.97483           465.24181          -464.74183            31.89723           -31.39723
             0.75010             9.07119            -5.04208           481.09986          -480.59989            32.53572           -32.03572
             0.76010             9.18761            -5.10934           497.27824          -496.77826            33.17848           -32.67848
             0.77010             9.30404            -5.17659           513.77905          -513.27907            33.82548           -33.32548
             0.78010             9.42047            -5.24384           530.60442          -530.10444            34.47670           -33.97670
             0.79010             9.53690            -5.31110           547.75645          -547.25647            35.13210           -34.63210
             0.80010             9.65333            -5.37835           565.23721          -564.73724            35.79166           -35.29167
             0.81010             9.76976            -5.44560           583.04880          -582.54882            36.45536           -35.95536
             0.82010             9.88619            -5.51285           601.19326          -600.69329            37.12317           -36.62317
             0.83010            10.00262            -5.58011           619.67265          -619.17268            37.79506           -37.29506
             0.84010            10.11905            -5.64736           638.48900          -637.98903            38.47101           -37.97102
             0.85010            10.23549            -5.71461           657.64434          -657.14437            39.15100           -38.65100
             0.86010            10.35192            -5.78186           677.14067          -676.64070            39.83500           -39.33500
             0.87010            10.46835            -5.84911           696.98000          -696.48003            40.52299           -40.02299
             0.88010            10.58479            -5.91636           717.16432          -716.66435            41.21494           -40.71494
             0.89010            10.70122            -5.98361           737.69560          -737.19563            41.91083           -41.41083
             0.90010            10.81766            -6.05086           758.57580          -758.07584            42.61064           -42.11064
             0.91010            10.93409            -6.11811           779.80689          -779.30693            43.31435           -42.81436
             0.92010            11.05053            -6.18535           801.39080          -800.89084            44.02194           -43.52194
             0.93010            11.16697            -6.25260           823.32948          -822.82951            44.73339           -44.23339
             0.94010            11.28340            -6.31985           845.62483          -845.12487            45.44867           -44.94867
             0.95010            11.39984            -6.38710           868.27878          -867.77882            46.16776           -45.66776
             0.96010            11.51628            -6.45435           891.29322          -890.79326            46.89065           -46.39065
             0.97010            11.63272            -6.52160           914.67006          -914.17010            47.61731           -47.11731
             0.98010            11.74916            -6.58884           938.41116          -937.91120            48.34773           -47.84773
             0.99010            11.86560            -6.65609           962.51841          -962.01845            49.08188           -48.58188
             1.00010            11.98204            -6.72334           986.99366          -986.49370            49.81975           -49.31975
             1.01010            12.09848            -6.79058          1011.83877         -1011.33882            50.56132           -50.06132
             1.02010            12.21492            -6.85783          1037.05559         -1036.55564            51.30657           -50.80657
             1.03010            12.33136            -6.92508          1062.64595         -1062.14600            52.05548           -51.55548
             1.04010            12.44780            -6.99232          1088.61168         -1088.11173            52.80803           -52.30803
             1.05010            12.56424            -7.05957          1114.95459         -1114.45464            53.56421           -53.06421
             1.06010            12.68068            -7.12681          1141.67649         -1141.17654            54.32400           -53.82400
             1.07010            12.79712            -7.19406          1168.77919         -1168.27924            55.08738           -54.58739
             1.08010            12.91357            -7.26131          1196.26447         -1195.76452            55.85434           -55.35434
             1.09010            13.03001            -7.32855          1224.13412         -1223.63418            56.62486           -56.12486
             1.10010            13.14645            -7.39580          1252.38992         -1251.88997            57.39891           -56.89892
             1.11010            13.26289            -7.46304          1281.03363         -1280.53368            58.17650           -57.67650
             1.12010            13.37934            -7.53029          1310.06700         -1309.56706            58.95759           -58.45759
             1.13010            13.49578            -7.59753          1339.49180         -1338.99186            59.74218           -59.24218
             1.14010            13.61223            -7.66478          1369.30977         -1368.80982            60.53025           -60.03025
             1.15010            13.72867            -7.73202          1399.52263         -1399.02269            61.32178           -60.82178
             1.16010            13.84511            -7.79926          1430.13212         -1429.63218            62.11676           -61.61676
             1.17010            13.96156            -7.86651          1461.13996         -1460.64003            62.91518           -62.41518
             1.18010            14.07800            -7.93375          1492.54787         -1492.04793            63.71701           -63.21701
             1.19010            14.19445            -8.00100          1524.35754         -1523.85761            64.52225           -64.02225
             1.20010            14.31089            -8.06824          1556.57068         -1556.07075            65.33087           -64.83088
             1.21010            14.42734            -8.13548          1589.18898         -1588.68905            66.14288           -65.64288
             1.22010            14.54378            -8.20273          1622.21412         -1621.71419            66.95825           -66.45825
             1.23010            14.66023            -8.26997          1655.64778         -1655.14786            67.77696           -67.27696
             1.24010            14.77668            -8.33722          1689.49164         -1688.99171            68.59901           -68.09901
             1.25010            14.89312            -8.40446          1723.74735         -1723.24742            69.42438           -68.92438
             1.26010            15.00957            -8.47170          1758.41657         -1757.91665            70.25306           -69.75306
             1.27010            15.12601            -8.53894          1793.50095         -1793.00103            71.08503           -70.58503
             1.28010            15.24246            -8.60619          1829.00215         -1828.50223            71.92028           -71.42029
             1.29010            15.35891            -8.67343          1864.92178         -1864.42187            72.75881           -72.25881
             1.30010            15.47536            -8.74067          1901.26150         -1900.76158            73.60059           -73.10059
             1.31010            15.59180            -8.80792          1938.02291         -1937.52300            74.44561           -73.94561
             1.32010            15.70825            -8.87516          1975.20765         -1974.70773            75.29386           -74.79387
             1.33010            15.82470            -8.94240          2012.81732         -2012.31740            76.14534           -75.64534
             1.34010            15.94114            -9.00964          2050.85352         -2050.35361            77.00002           -76.50002
             1.35010            16.05759            -9.07689          2089.31787         -2088.81796            77.85789           -77.35790
             1.36010            16.17404            -9.14413          2128.21195         -2127.71204            78.71895           -78.21895
             1.37010            16.29049            -9.21137          2167.53735         -2167.03744            79.58318           -79.08318
             1.38010            16.40694            -9.27861          2207.29566         -2206.79575            80.45057           -79.95057
             1.39010            16.52339            -9.34586          2247.48844         -2246.98854            81.32111           -80.82111
             1.40010            16.63983            -9.41310          2288.11729         -2287.61739            82.19478           -81.69478
             1.41010            16.75628            -9.48034          2329.18375         -2328.68385            83.07158           -82.57158
             1.42010            16.87273            -9.54758          2370.68939         -2370.18949            83.95149           -83.45150
             1.43010            16.98918            -9.61482          2412.63576         -2412.13587            84.83451           -84.33452
             1.44010            17.10563            -9.68206          2455.02442         -2454.52452            85.72062           -85.22063
             1.45010            17.22208            -9.74931          2497.85690         -2497.35701            86.60982           -86.10982
             1.46010            17.33853            -9.81655          2541.13474         -2540.63486            87.50208           -87.00208
             1.47010            17.45498            -9.88379          2584.85949         -2584.35960            88.39740           -87.89741
             1.48010            17.57143            -9.95103          2629.03266         -2628.53277            89.29578           -88.79578
             1.49010            17.68788           -10.01827          2673.65577         -2673.15589            90.19719           -89.69720
             1.50010            17.80432           -10.08551          2718.73036         -2718.23048            91.10164           -90.60164
             1.51010            17.92077           -10.15276          2764.25792         -2763.75804            92.00910           -91.50911
             1.52010            18.03722           -10.22000          2810.23996         -2809.74008            92.91957           -92.41958
             1.53010            18.15367           -10.28724          2856.67799         -2856.17812            93.83305           -93.33305
             1.54010            18.27012           -10.35448          2903.57351         -2903.07364            94.74951           -94.24952
             1.55010            18.38657           -10.42172          2950.92800         -2950.42813            95.66896           -95.16896
             1.56010            18.50302           -10.48896          2998.74296         -2998.24309            96.59137           -96.09137
             1.57010            18.61948           -10.55620          3047.01987         -3046.52000            97.51674           -97.01675
             1.58010            18.73593           -10.62344          3095.76020         -3095.26033            98.44507           -97.94508
             1.59010            18.85238           -10.69068          3144.96543         -3144.46557            99.37634           -98.87634
             1.60010            18.96883           -10.75792          3194.63703         -3194.13717           100.31054           -99.81055
             1.61010            19.08528           -10.82516          3244.77646         -3244.27660           101.24767          -100.74767
             1.62010            19.20173           -10.89241          3295.38519         -3294.88533           102.18771          -101.68771
             1.63010            19.31818           -10.95965          3346.46466         -3345.96480           103.13065          -102.63066
             1.64010            19.43463           -11.02689          3398.01632         -3397.51647           104.07650          -103.57650
             1.65010            19.55108           -11.09413          3450.04164         -3449.54179           105.02523          -104.52523
             1.66010            19.66753           -11.16137          3502.54203         -3502.04219           105.97684          -105.47684
             1.67010            19.78398           -11.22861          3555.51896         -3555.01911           106.93132          -106.43132
             1.68010            19.90043           -11.29585          3608.97383         -3608.47399           107.88866          -107.38867
             1.69010            20.01689           -11.36309          3662.90809         -3662.40825           108.84886          -108.34886
             1.70010            20.13334           -11.43033          3717.32316         -3716.82333           109.81190          -109.31190
             1.71010            20.24979           -11.49757          3772.22046         -3771.72063           110.77777          -110.27778
             1.72010            20.36624           -11.56481          3827.60141         -3827.10158           111.74648          -111.24648
             1.73010            20.48269           -11.63205          3883.46741         -3882.96758           112.71800          -112.21801
             1.74010            20.59914           -11.69929          3939.81988         -3939.32006           113.69234          -113.19235
             1.75010            20.71560           -11.76653          3996.66022         -3996.16040           114.66948          -114.16949
             1.76010            20.83205           -11.83377          4053.98983         -4053.49001           115.64942          -115.14942
             1.77010            20.94850           -11.90101          4111.81011         -4111.31029           116.63214          -116.13215
             1.78010            21.06495           -11.96825          4170.12244         -4169.62262           117.61764          -117.11765
             1.79010            21.18140           -12.03549          4228.92821         -4228.42840           118.60592          -118.10593
             1.80010            21.29785           -12.10273          4288.22882         -4287.72901           119.59696          -119.09697
             1.81010            21.41431           -12.16997          4348.02564         -4347.52583           120.59076          -120.09076
             1.82010            21.53076           -12.23721          4408.32004         -4407.82023           121.58730          -121.08731
             1.83010            21.64721           -12.30445          4469.11340         -4468.61359           122.58659          -122.08659
             1.84010            21.76366           -12.37169          4530.40708         -4529.90728           123.58861          -123.08862
             1.85010            21.88012           -12.43893          4592.20246         -4591.70266           124.59336          -124.09336
             1.86010            21.99657           -12.50617          4654.50090         -4654.00110           125.60082          -125.10083
             1.87010            22.11302           -12.57341          4717.30374         -4716.80395           126.61100          -126.11101
             1.88010            22.22947           -12.64065          4780.61235         -4780.11256           127.62388          -127.12389
             1.89010            22.34593           -12.70789          4844.42808         -4843.92829           128.63946          -128.13947
             1.90010            22.46238           -12.77513          4908.75226         -4908.25248           129.65773          -129.15774
             1.91010            22.57883           -12.84237          4973.58626         -4973.08648           130.67869          -130.17869
             1.92010            22.69528           -12.90961          5038.93140         -5038.43162           131.70232          -131.20232
             1.93010            22.81174           -12.97685          5104.78902         -5104.28924           132.72861          -132.22862
             1.94010            22.92819           -13.04409          5171.16046         -5170.66068           133.75757          -133.25758
             1.95010            23.04464           -13.11133          5238.04704         -5237.54727           134.78919          -134.28920
             1.96010            23.16110           -13.17857          5305.45009         -5304.95032           135.82345          -135.32346
             1.97010            23.27755           -13.24581          5373.37093         -5372.87117           136.86036          -136.36036
             1.98010            23.39400           -13.31305          5441.81089         -5441.31113           137.89990          -137.39991
             1.99010            23.51045           -13.38028          5510.77127         -5510.27151           138.94207          -138.44207
             2.00010            23.62691           -13.44752          5580.25340         -5579.75364           139.98686          -139.48686
             2.01010            23.74336           -13.51476          5650.25857         -5649.75882           141.03426          -140.53427
             2.02010            23.85981           -13.58200          5720.78810         -5720.28835           142.08428          -141.58428
             2.03010            23.97627           -13.64924          5791.84328         -5791.34354           143.13689          -142.63690
             2.04010            24.09272           -13.71648          5863.42543         -5862.92568           144.19211          -143.69211
             2.05010            24.20917           -13.78372          5935.53582         -5935.03608           145.24991          -144.74991
             2.06010            24.32563           -13.85096          6008.17577         -6007.67603           146.31029          -145.81030
             2.07010            24.44208           -13.91820          6081.34655         -6080.84681           147.37325          -146.87326
             2.08010            24.55853           -13.98544          6155.04945         -6154.54972           148.43879          -147.93879
             2.09010            24.67499           -14.05268          6229.28576         -6228.78604           149.50688          -149.00689
             2.10010            24.79144           -14.11992          6304.05676         -6303.55704           150.57754          -150.07754
             2.11010            24.90789           -14.18716          6379.36373         -6378.86401           151.65074          -151.15075
             2.12010            25.02435           -14.25439          6455.20793         -6454.70821           152.72649          -152.22650
             2.13010            25.14080           -14.32163          6531.59065         -6531.09093           153.80479          -153.30479
             2.14010            25.25726           -14.38887          6608.51314         -6608.01343           154.88561          -154.38562
             2.15010            25.37371           -14.45611          6685.97669         -6685.47698           155.96897          -155.46898
             2.16010            25.49016           -14.52335          6763.98254         -6763.48283           157.05485          -156.55485
             2.17010            25.60662           -14.59059          6842.53195         -6842.03225           158.14324          -157.64325
             2.18010            25.72307           -14.65783          6921.62619         -6921.12650           159.23414          -158.73415
             2.19010            25.83952           -14.72507          7001.26652         -7000.76682           160.32755          -159.82756
             2.20010            25.95598           -14.79231          7081.45417         -7080.95447           161.42346          -160.92347
             2.21010            26.07243           -14.85955          7162.19039         -7161.69071           162.52186          -162.02187
             2.22010            26.18889           -14.92678          7243.47644         -7242.97676           163.62275          -163.12276
             2.23010            26.30534           -14.99402          7325.31356         -7324.81388           164.72612          -164.22613
             2.24010            26.42179           -15.06126          7407.70298         -7407.20330           165.83197          -165.33198
             2.25010            26.53825           -15.12850          7490.64594         -7490.14627           166.94029          -166.44030
             2.26010            26.65470           -15.19574          7574.14368         -7573.64401           168.05107          -167.55108
             2.27010            26.77116           -15.26298          7658.19743         -7657.69776           169.16432          -168.66432
             2.28010            26.88761           -15.33022          7742.80841         -7742.30875           170.28002          -169.78002
             2.29010            27.00407           -15.39746          7827.97785         -7827.47820           171.39816          -170.89817
             2.30010            27.12052           -15.46470          7913.70698         -7913.20733           172.51876          -172.01876
             2.31010            27.23697           -15.53193          7999.99702         -7999.49737           173.64179          -173.14180
             2.32010            27.35343           -15.59917          8086.84918         -8086.34953           174.76725          -174.26726
             2.33010            27.46988           -15.66641          8174.26468         -8173.76504           175.89515          -175.39515
             2.34010            27.58634           -15.73365          8262.24473         -8261.74509           177.02546          -176.52547
             2.35010            27.70279           -15.80089          8350.79055         -8350.29091           178.15819          -177.65820
             2.36010            27.81925           -15.86813          8439.90333         -8439.40370           179.29334          -178.79335
             2.37010            27.93570           -15.93537          8529.58429         -8529.08466           180.43089          -179.93090
             2.38010            28.05215           -16.00260          8619.83463         -8619.33500           181.57085          -181.07086
             2.39010            28.16861           -16.06984          8710.65554         -8710.15592           182.71320          -182.21321
             2.40010            28.28506           -16.13708          8802.04823         -8801.54861           183.85795          -183.35795
             2.41010            28.40152           -16.20432          8894.01388         -8893.51427           185.00508          -184.50509
             2.42010            28.51797           -16.27156          8986.55370         -8986.05410           186.15459          -185.65460
             2.43010            28.63443           -16.33880          9079.66888         -9079.16927           187.30648          -186.80649
             2.44010            28.75088           -16.40604          9173.36059         -9172.86099           188.46075          -187.96076
             2.45010            28.86734           -16.47327          9267.63002         -9267.13043           189.61738          -189.11739
             2.46010            28.98379           -16.54051          9362.47836         -9361.97877           190.77638          -190.27638
             2.47010            29.10025           -16.60775          9457.90679         -9457.40721           191.93773          -191.43774
             2.48010            29.21670           -16.67499          9553.91649         -9553.41690           193.10143          -192.60144
             2.49010            29.33315           -16.74223          9650.50862         -9650.00904           194.26749          -193.76750
             2.50010            29.44961           -16.80947          9747.68437         -9747.18480           195.43589          -194.93590
             2.51010            29.56606           -16.87671          9845.44490         -9844.94533           196.60662          -196.10663
             2.52010            29.68252           -16.94394          9943.79139         -9943.29182           197.77970          -197.27970
             2.53010            29.79897           -17.01118         10042.72499        -10042.22543           198.95510          -198.45511
             2.54010            29.91543           -17.07842         10142.24687        -10141.74732           200.13282          -199.63283
             2.55010            30.03188           -17.14566         10242.35820        -10241.85865           201.31287          -200.81288
             2.56010            30.14834           -17.21290         10343.06013        -10342.56059           202.49523          -201.99524
             2.57010            30.26479           -17.28014         10444.35382        -10443.85428           203.67991          -203.17992
             2.58010            30.38125           -17.34737         10546.24043        -10545.74089           204.86689          -204.36690
             2.59010            30.49770           -17.41461         10648.72110        -10648.22157           206.05617          -205.55618
             2.60010            30.61416           -17.48185         10751.79699        -10751.29746           207.24776          -206.74777
             2.61010            30.73061           -17.54909         10855.46924        -10854.96972           208.44163          -207.94164
             2.62010            30.84707           -17.61633         10959.73901        -10959.23949           209.63780          -209.13781
             2.63010            30.96352           -17.68357         11064.60742        -11064.10791           210.83625          -210.33626
             2.64010            31.07998           -17.75080         11170.07564        -11169.57613           212.03698          -211.53699
             2.65010            31.19643           -17.81804         11276.14478        -11275.64528           213.23998          -212.73999
             2.66010            31.31289           -17.88528         11382.81600        -11382.31650           214.44526          -213.94527
             2.67010            31.42934           -17.95252         11490.09043        -11489.59093           215.65281          -215.15282
             2.68010            31.54580           -18.01976         11597.96919        -11597.46970           216.86262          -216.36263
             2.69010            31.66225           -18.08700         11706.45342        -11705.95394           218.07469          -217.57470
             2.70010            31.77871           -18.15423         11815.54426        -11815.04477           219.28901          -218.78902
             2.71010            31.89516           -18.22147         11925.24281        -11924.74333           220.50558          -220.00559
             2.72010            32.01162           -18.28871         12035.55022        -12035.05074           221.72440          -221.22441
             2.73010            32.12807           -18.35595         12146.46759        -12145.96812           222.94547          -222.44548
             2.74010            32.24453           -18.42319         12257.99606        -12257.49660           224.16877          -223.66878
             2.75010            32.36098           -18.49042         12370.13674        -12369.63728           225.39430          -224.89431
             2.76010            32.47744           -18.55766         12482.89074        -12482.39129           226.62207          -226.12208
             2.77010            32.59389           -18.62490         12596.25918        -12595.75973           227.85206          -227.35207
             2.78010            32.71035           -18.69214         12710.24318        -12709.74373           229.08428          -228.58429
             2.79010            32.82681           -18.75938         12824.84383        -12824.34439           230.31871          -229.81872
             2.80010            32.94326           -18.82662         12940.06226        -12939.56283           231.55536          -231.05537
             2.81010            33.05972           -18.89385         13055.89956        -13055.40013           232.79421          -232.29422
             2.82010            33.17617           -18.96109         13172.35684        -13171.85742           234.03528          -233.53529
             2.83010            33.29263           -19.02833         13289.43521        -13288.93579           235.27854          -234.77855
             2.84010            33.40908           -19.09557         13407.13576        -13406.63634           236.52401          -236.02402
             2.85010            33.52554           -19.16281         13525.45958        -13524.96017           237.77166          -237.27167
             2.86010            33.64199           -19.23004         13644.40779        -13643.90838           239.02151          -238.52152
             2.87010            33.75845           -19.29728         13763.98146        -13763.48207           240.27355          -239.77356
             2.88010            33.87490           -19.36452         13884.18170        -13883.68231           241.52777          -241.02778
             2.89010            33.99136           -19.43176         14005.00960        -14004.51021           242.78417          -242.28418
             2.90010            34.10781           -19.49900         14126.46624        -14125.96686           244.04274          -243.54275
             2.91010            34.22427           -19.56623         14248.55271        -14248.05333           245.30349          -244.80350
             2.92010            34.34073           -19.63347         14371.27009        -14370.77072           246.56640          -246.06641
             2.93010            34.45718           -19.70071         14494.61947        -14494.12010           247.83148          -247.33149
             2.94010            34.57364           -19.76795         14618.60193        -14618.10257           249.09872          -248.59873
             2.95010            34.69009           -19.83519         14743.21855        -14742.71919           250.36811          -249.86812
             2.96010            34.80655           -19.90242         14868.47040        -14867.97105           251.63966          -251.13967
             2.97010            34.92300           -19.96966         14994.35857        -14993.85923           252.91336          -252.41337
             2.98010            35.03946           -20.03690         15120.88412        -15120.38479           254.18920          -253.68921
             2.99010            35.15591           -20.10414         15248.04814        -15247.54880           255.46719          -254.96720
             3.00010            35.27237           -20.17138         15375.85168        -15375.35235           256.74732          -256.24733
             3.01010            35.38883           -20.23861         15504.29581        -15503.79649           258.02958          -257.52959
             3.02010            35.50528           -20.30585         15633.38161        -15632.88229           259.31397          -258.81398
             3.03010            35.62174           -20.37309         15763.11014        -15762.61083           260.60049          -260.10050
             3.04010            35.73819           -20.44033         15893.48246        -15892.98315           261.88914          -261.38915
             3.05010            35.85465           -20.50757         16024.49963        -16024.00033           263.17990          -262.67991
             3.06010            35.97110           -20.57480         16156.16272        -16155.66342           264.47279          -263.97280
             3.07010            36.08756           -20.64204         16288.47278        -16287.97349           265.76778          -265.26780
             3.08010            36.20401           -20.70928         16421.43086        -16420.93158           267.06489          -266.56491
             3.09010            36.32047           -20.77652         16555.03802        -16554.53875           268.36411          -267.86412
             3.10010            36.43693           -20.84376         16689.29532        -16688.79605           269.66543          -269.16544
             3.11010            36.55338           -20.91099         16824.20381        -16823.70455           270.96885          -270.46886
             3.12010            36.66984           -20.97823         16959.76453        -16959.26527           272.27437          -271.77438
             3.13010            36.78629           -21.04547         17095.97853        -17095.47928           273.58198          -273.08199
             3.14010            36.90275           -21.11271         17232.84687        -17232.34762           274.89169          -274.39170
             3.15010            37.01921           -21.17994         17370.37057        -17369.87133           276.20347          -275.70349
             3.16010            37.13566           -21.24718         17508.55069        -17508.05146           277.51735          -277.01736
             3.17010            37.25212           -21.31442         17647.38827        -17646.88904           278.83330          -278.33331
             3.18010            37.36857           -21.38166         17786.88434        -17786.38512           280.15133          -279.65135
             3.19010            37.48503           -21.44890         17927.03995        -17926.54074           281.47144          -280.97145
             3.20010            37.60148           -21.51613         18067.85613        -18067.35692           282.79361          -282.29363
             3.21010            37.71794           -21.58337         18209.33392        -18208.83471           284.11786          -283.61787
             3.22010            37.83440           -21.65061         18351.47434        -18350.97514           285.44416          -284.94418
             3.23010            37.95085           -21.71785         18494.27843        -18493.77924           286.77253          -286.27255
             3.24010            38.06731           -21.78509         18637.74722        -18637.24803           288.10296          -287.60297
             3.25010            38.18376           -21.85232         18781.88173        -18781.38255           289.43544          -288.93545
             3.26010            38.30022           -21.91956         18926.68300        -18926.18383           290.76997          -290.26998
             3.27010            38.41668           -21.98680         19072.15205        -19071.65288           292.10655          -291.60657
             3.28010            38.53313           -22.05404         19218.28990        -19217.79074           293.44518          -292.94519
             3.29010            38.64959           -22.12127         19365.09757        -19364.59842           294.78585          -294.28586
             3.30010            38.76604           -22.18851         19512.57609        -19512.07694           296.12855          -295.62857
             3.31010            38.88250           -22.25575         19660.72647        -19660.22733           297.47330          -296.97331
             3.32010            38.99896           -22.32299         19809.54973        -19809.05060           298.82007          -298.32009
             3.33010            39.11541           -22.39023         19959.04689        -19958.54776           300.16888          -299.66889
             3.34010            39.23187           -22.45746         20109.21895        -20108.71983           301.51971          -301.01972
             3.35010            39.34832           -22.52470         20260.06694        -20259.56782           302.87257          -302.37258
             3.36010            39.46478           -22.59194         20411.59186        -20411.09275           304.22744          -303.72746
             3.37010            39.58124           -22.65918         20563.79472        -20563.29562           305.58434          -305.08435
             3.38010            39.69769           -22.72641         20716.67653        -20716.17744           306.94324          -306.44326
             3.39010            39.81415           -22.79365         20870.23830        -20869.73922           308.30416          -307.80418
             3.40010            39.93060           -22.86089         21024.48104        -21023.98196           309.66709          -309.16711
             3.41010            40.04706           -22.92813         21179.40574        -21178.90666           311.03203          -310.53204
             3.42010            40.16352           -22.99536         21335.01341        -21334.51434           312.39897          -311.89898
             3.43010            40.27997           -23.06260         21491.30504        -21490.80598           313.76790          -313.26792
             3.44010            40.39643           -23.12984         21648.28165        -21647.78259           315.13884          -314.63885
