        nu_e/omega_T             omega_r             omega_i            omega1_r            omega1_i            omega2_r            omega2_i
           187.50957             0.98354            -0.34335             0.00000             0.00000             1.17644            -0.67644
           188.77227             0.98486            -0.34418             0.00000             0.00000             1.17872            -0.67872
           190.03496             0.98618            -0.34499             0.00000             0.00000             1.18098            -0.68098
           191.29765             0.98750            -0.34581             0.00000             0.00000             1.18324            -0.68324
           192.56034             0.98881            -0.34662             0.00000             0.00000             1.18549            -0.68549
           193.82303             0.99011            -0.34743             0.00000             0.00000             1.18774            -0.68774
           195.08572             0.99141            -0.34824             0.00000             0.00000             1.18997            -0.68997
           196.34841             0.99271            -0.34904             0.00000             0.00000             1.19220            -0.69220
           197.61110             0.99400            -0.34984             0.00000             0.00000             1.19442            -0.69442
           198.87379             0.99528            -0.35063             0.00000             0.00000             1.19664            -0.69664
           200.13648             0.99656            -0.35142             0.00000             0.00000             1.19885            -0.69885
           201.39917             0.99783            -0.35221             0.00000             0.00000             1.20105            -0.70105
           202.66186             0.99910            -0.35300             0.00000             0.00000             1.20324            -0.70324
           203.92455             1.00036            -0.35378             0.00000             0.00000             1.20543            -0.70543
           205.18725             1.00162            -0.35455             0.00000             0.00000             1.20761            -0.70761
           206.44994             1.00287            -0.35533             0.00000             0.00000             1.20978            -0.70978
           207.71263             1.00412            -0.35610             0.00000             0.00000             1.21195            -0.71195
           208.97532             1.00536            -0.35687             0.00000             0.00000             1.21411            -0.71411
           210.23801             1.00660            -0.35763             0.00000             0.00000             1.21627            -0.71627
           211.50070             1.00783            -0.35840             0.00000             0.00000             1.21841            -0.71841
           212.76339             1.00906            -0.35916             0.00000             0.00000             1.22056            -0.72056
           214.02608             1.01029            -0.35991             0.00000             0.00000             1.22269            -0.72269
           215.28877             1.01151            -0.36067             0.00000             0.00000             1.22482            -0.72482
           216.55146             1.01272            -0.36142             0.00000             0.00000             1.22694            -0.72694
           217.81415             1.01393            -0.36216             0.00000             0.00000             1.22906            -0.72906
           219.07684             1.01514            -0.36291             0.00000             0.00000             1.23117            -0.73117
           220.33953             1.01634            -0.36365             0.00000             0.00000             1.23327            -0.73327
           221.60222             1.01753            -0.36439             0.00000             0.00000             1.23537            -0.73537
           222.86492             1.01873            -0.36512             0.00000             0.00000             1.23746            -0.73746
           224.12761             1.01992            -0.36585             0.00000             0.00000             1.23955            -0.73955
           225.39030             1.02110            -0.36658             0.00000             0.00000             1.24163            -0.74163
           226.65299             1.02228            -0.36731             0.00000             0.00000             1.24370            -0.74370
           227.91568             1.02345            -0.36804             0.00000             0.00000             1.24577            -0.74577
           229.17837             1.02463            -0.36876             0.00000             0.00000             1.24783            -0.74783
           230.44106             1.02579            -0.36948             0.00000             0.00000             1.24989            -0.74989
           231.70375             1.02696            -0.37019             0.00000             0.00000             1.25194            -0.75194
           232.96644             1.02812            -0.37091             0.00000             0.00000             1.25399            -0.75399
           234.22913             1.02927            -0.37162             0.00000             0.00000             1.25603            -0.75603
           235.49182             1.03042            -0.37233             0.00000             0.00000             1.25807            -0.75807
           236.75451             1.03157            -0.37303             0.00000             0.00000             1.26009            -0.76010
           238.01720             1.03271            -0.37374             0.00000             0.00000             1.26212            -0.76212
           239.27990             1.03385            -0.37444             0.00000             0.00000             1.26414            -0.76414
           240.54259             1.03499            -0.37514             0.00000             0.00000             1.26615            -0.76615
           241.80528             1.03612            -0.37583             0.00000             0.00000             1.26816            -0.76816
           243.06797             1.03724            -0.37652             0.00000             0.00000             1.27016            -0.77016
           244.33066             1.03837            -0.37722             0.00000             0.00000             1.27216            -0.77216
           245.59335             1.03949            -0.37790             0.00000             0.00000             1.27415            -0.77415
           246.85604             1.04061            -0.37859             0.00000             0.00000             1.27614            -0.77614
           248.11873             1.04172            -0.37927             0.00000             0.00000             1.27812            -0.77812
           249.38142             1.04283            -0.37996             0.00000             0.00000             1.28010            -0.78010
           250.64411             1.04393            -0.38063             0.00000             0.00000             1.28207            -0.78207
           251.90680             1.04504            -0.38131             0.00000             0.00000             1.28404            -0.78404
           253.16949             1.04613            -0.38199             0.00000             0.00000             1.28600            -0.78600
           254.43218             1.04723            -0.38266             0.00000             0.00000             1.28796            -0.78796
           255.69487             1.04832            -0.38333             0.00000             0.00000             1.28991            -0.78991
           256.95757             1.04941            -0.38400             0.00000             0.00000             1.29186            -0.79186
           258.22026             1.05049            -0.38466             0.00000             0.00000             1.29381            -0.79381
           259.48295             1.05157            -0.38533             0.00000             0.00000             1.29574            -0.79574
           260.74564             1.05265            -0.38599             0.00000             0.00000             1.29768            -0.79768
           262.00833             1.05373            -0.38665             0.00000             0.00000             1.29961            -0.79961
           263.27102             1.05480            -0.38730             0.00000             0.00000             1.30153            -0.80153
           264.53371             1.05586            -0.38796             0.00000             0.00000             1.30345            -0.80345
           265.79640             1.05693            -0.38861             0.00000             0.00000             1.30537            -0.80537
           267.05909             1.05799            -0.38926             0.00000             0.00000             1.30728            -0.80728
           268.32178             1.05905            -0.38991             0.00000             0.00000             1.30918            -0.80918
           269.58447             1.06010            -0.39056             0.00000             0.00000             1.31108            -0.81108
           270.84716             1.06115            -0.39120             0.00000             0.00000             1.31298            -0.81298
           272.10985             1.06220            -0.39184             0.00000             0.00000             1.31487            -0.81487
           273.37255             1.06325            -0.39248             0.00000             0.00000             1.31676            -0.81676
           274.63524             1.06429            -0.39312             0.00000             0.00000             1.31865            -0.81865
           275.89793             1.06533            -0.39376             0.00000             0.00000             1.32053            -0.82053
           277.16062             1.06637            -0.39439             0.00000             0.00000             1.32240            -0.82240
           278.42331             1.06740            -0.39502             0.00000             0.00000             1.32427            -0.82427
           279.68600             1.06843            -0.39565             0.00000             0.00000             1.32614            -0.82614
           280.94869             1.06946            -0.39628             0.00000             0.00000             1.32800            -0.82800
           282.21138             1.07048            -0.39691             0.00000             0.00000             1.32986            -0.82986
           283.47407             1.07150            -0.39753             0.00000             0.00000             1.33172            -0.83172
           284.73676             1.07252            -0.39816             0.00000             0.00000             1.33357            -0.83357
           285.99945             1.07353            -0.39878             0.00000             0.00000             1.33541            -0.83541
           287.26214             1.07455            -0.39940             0.00000             0.00000             1.33726            -0.83726
           288.52483             1.07556            -0.40002             0.00000             0.00000             1.33909            -0.83909
           289.78752             1.07656            -0.40063             0.00000             0.00000             1.34093            -0.84093
           291.05022             1.07757            -0.40124             0.00000             0.00000             1.34276            -0.84276
           292.31291             1.07857            -0.40186             0.00000             0.00000             1.34458            -0.84458
           293.57560             1.07957            -0.40247             0.00000             0.00000             1.34641            -0.84641
           294.83829             1.08056            -0.40307             0.00000             0.00000             1.34822            -0.84822
           296.10098             1.08155            -0.40368             0.00000             0.00000             1.35004            -0.85004
           297.36367             1.08254            -0.40429             0.00000             0.00000             1.35185            -0.85185
           298.62636             1.08353            -0.40489             0.00000             0.00000             1.35366            -0.85366
           299.88905             1.08452            -0.40549             0.00000             0.00000             1.35546            -0.85546
           301.15174             1.08550            -0.40609             0.00000             0.00000             1.35726            -0.85726
           302.41443             1.08648            -0.40669             0.00000             0.00000             1.35905            -0.85905
           303.67712             1.08745            -0.40728             0.00000             0.00000             1.36084            -0.86084
           304.93981             1.08843            -0.40788             0.00000             0.00000             1.36263            -0.86263
